codevalue,valuelabel
20.0605,Executive Housekeeper
20.0606,Homemaker's Aide
20.0699,"Custodial, Housekeeping and Home Services, Other"
20.9999,"Vocational Home Economics, Other"
22.0101,"Law (LL.B., J.D.)"
22.0102,Pre-Law Studies
22.0103,Paralegal/Legal Assistant
22.0199,"Law and Legal Studies, Other"
23.0101,"English Language and Literature, General"
23.0201,Classics
23.0301,Comparative Literature
23.0401,English Composition
23.0501,English Creative Writing
23.0601,Linguistics
23.0701,American Literature (United States)
23.0801,English Literature (British and Commonwealth)
23.1001,Speech and Rhetorical Studies
23.1101,English Technical and Business Writing
23.1201,English as a Second Language
23.9999,"English Language and Literature/Letters, Other"
24.0101,Liberal Arts and Sciences/Liberal Studies
24.0102,General Studies
24.0199,"Liberal Art and Sciences, General Studies and Humanities, Other"
25.0101,Library Science/Librarianship
25.0201,Archival Science
25.0301,Library Assistant
25.0401,Library Science
25.0501,Museology
25.9999,"Library Science, Other"
26.0101,"Biology, General"
26.0201,Biochemistry and Biophysics
26.0301,"Botany, General"
26.0302,Bacteriology
26.0304,Plant Genetics
26.0305,Plant Pathology
26.0307,Plant Physiology
26.0399,"Botany, Other"
26.0401,Cell Biology
26.0402,Molecular Biology
26.0499,"Cell and Molecular Biology, Other"
26.0501,Microbiology/Bacteriology
26.0601,Anatomy
26.0602,Biometrics and Biostatistics
26.0603,Ecology
26.0604,Embryology
26.0605,Endocrinology
26.0606,History
26.0607,Marine/Aquatic Biology
26.0608,Neuroscience
26.0609,Nutritional Sciences
26.061,Parasitology
26.0611,Radiation Biology/Radiobiology
26.0612,Toxicology
26.0699,"Misc. Biological Specializations, Other"
26.0701,"Zoology, General"
26.0702,Entomology
26.0703,"Genetics, Human and Animal"
26.0704,"Pathology, Human and Animal"
26.0705,"Pharmacology, Human and Animal"
26.0706,"Physiology, Human and Animal"
26.0799,"Zoology, Other"
26.9999,"Biological Sciences/Life Sciences, Other"
27.0101,Mathematics
27.0201,Actuarial Science
27.0301,"Applied Mathematics, General"
27.0401,Pure Mathematics
27.0501,Mathematical Statistics
27.9999,"Mathematics, Other"
28.0101,Aerospace Science (Air Force)
28.0301,Military Science (Army)
28.0401,"Naval Science (Navy, Marines)"
28.0501,Maritime Sci (Merch Marine)
28.9999,"Military Science, Other"
29.0101,Military Technologies
30.0101,Biological and Physical Sciences
30.0201,Clinical Pastoral Care
30.0301,"Multi/Interdisciplinary Studies, Other"
30.0401,Humanities and Social Sciences
30.0501,Peace and Conflict Studies
30.0601,Systems Science and Theory
30.0701,Women's Studies
30.0801,Mathematics and Computer Science
30.9999,"Multi/Interdisciplinary Studies, Other"
31.0101,"Parks, Recreation and Leisure Studies"
31.0201,Outdoor Recreation
31.0301,"Parks, Recreation and Leisure Facilities Management"
31.0401,Water Resources
31.9999,"Parks, Recreation, Leisure and Fitness Studies, Other"
38.0101,Philosophy
38.0201,Religion/Religious Studies
38.9999,Philosophy and Religion
39.0101,Biblical and Other Theological Languages and Literatures
39.0201,Bible/Biblical Studies
39.0301,Missions/Missionary Studies and Misology
39.0401,Religious Education
39.0501,Religious/Sacred Music
39.0601,Theology/Theological Studies
39.9999,"Theological Studies and Rel. Vocations, Other"
40.0101,"Physical Sciences, General"
40.0201,Astronomy
40.0301,Astrophysics
40.0401,Atmospheric Sciences and Meteorology
40.0501,"Chemistry, General"
40.0502,Analytical Chemistry
40.0503,Inorganic Chemistry
40.0504,Organic Chemistry
40.0505,Medicinal/Pharmaceutical Chemistry
40.0506,Physical and Theoretical Chemistry
40.0599,"Chemistry, Other"
40.0601,Geology
40.0602,Geochemistry
40.0603,Geophysics and Seismology
40.0604,Paleontology
40.0699,"Geological and Related Sciences, Other"
40.0701,Metallurgy
40.0702,Oceanography
40.0703,Earth and Planetary Sciences
40.0799,"Miscellaneous Physical Sciences, Other"
40.0801,"Physics, General"
40.0802,Chemical and Atomic/Molecular Physics
40.0806,Nuclear Physics
40.0807,Optics
40.0808,Solid State and Low-Temperature Physics
40.0899,"Physics, Other"
40.0901,Planetary Science
40.9999,"Physical Sciences, Other"
41.0101,Biological Tech./Technician
41.0102,Oceanography
41.0199,"Biological Technologies, Other"
41.0201,Nuclear Materials Handling Tech.
41.0202,Nuclear Power Plant Operation Technology
41.0203,Nuclear Power Plant Radiation Control Technology
41.0204,Industrial Radiologic Tech./Technician
41.0299,"Nuclear and Industrial Radiologic Tech., Other"
41.0301,Chemical Tech./Technician
41.0302,Geological Technology
41.0303,Metallurgical Technology
41.0304,Meteorological Technology
41.0305,Oceanography
41.0399,"Physical Science Technol./Technicians, Other"
41.9999,"Science Technologies/Technicians, Other"
42.0101,"Psychology, General"
42.0201,Clinical Psychology
42.0301,Cognitive Psychology and Psycholinguistics
42.0401,Community Psychology
42.0601,Counseling Psychology
42.0701,Developmental and Child Psychology
42.0801,Experimental Psychology
42.0901,Industrial and Organizational Psychology
42.1001,"Phycology, Other"
42.1101,Physiological Psychology/Psychobiology
42.1201,Psycholinguistics
42.1301,Psychometrics
42.1501,Quantitative Psychology
42.1601,Social Psychology
42.9999,"Psychology, Other"
43.0101,Correctional Administration
43.0102,Corrections/Correctional Administration
43.0103,Criminal Justice/Law Enforcement Administration
43.0104,Criminal Justice Studies
43.0105,Criminal Justice Technology
43.0106,Forensic Tech./Technician
43.0107,Law Enforcement/Police Science
43.0108,Law Enforcement Admin
43.0109,Security and Loss Prevention Services
43.0199,"Criminal Justice and Corrections, Other"
43.0201,Fire Protection and Safety Tech./Technician
43.0202,Fire Services Administration
43.0203,Fire Science/Firefighting
43.0299,"Fire Protection, Other"
43.9999,"Protective Services, Other"
44.0101,"Public Affairs, General"
44.0201,"Community Organization, Resources and Services"
44.0301,International Public Servcie
44.0401,Public Administration
44.0501,Public Policy Analysis
44.0601,Public Sanitation
44.0699,"Public Works, Other"
44.0701,Social Work
44.0702,Medical Social Work
44.0799,"Social Work, Other"
44.9999,"Public Administration and Services, Other"
45.0101,"Social Sciences, General"
45.0201,Anthropology
45.0301,Archeology
45.0302,Archaeology
45.0401,Criminology
45.0501,Demography/Population Studies
45.0601,"Economics, General"
45.0701,Geography
45.0801,"History, General"
45.0901,International Relations and Affairs
45.1001,"Political Science, General"
45.1101,Sociology
45.1201,Urban Affairs/Studies
45.9999,"Social Sciences and History, Other"
46.0101,Mason and Tile Setter
46.0102,"Brickmasonry, Block and Stone"
46.0103,Mason and Tile Setter
46.0199,"Brickmasonry, Stonemasonry, and Tile Setting, Other"
46.0201,Carpenter
46.0301,"Elec. and Power Trans. Installer, General"
46.0302,Electrician
46.0303,Lineworker
46.0399,"Electrical and Power Transmission Installers, Other"
46.0401,Building/Property Maintenance and Management
46.0403,Construction/Building Inspector
46.0405,Floor Covering Installation
46.0407,Insulation Installation
46.0408,Painter and Wall Coverer
46.0409,Plastering
46.0499,"Construction and Building Finishers and Managers, Other"
46.0501,Plumber and Pipefitter
46.0502,Pipefitting and Steamfitting
46.0503,Plumbing
46.0599,"Plumbing, Pipefitting and Steamfitting, Other"
46.9999,"Construction Trades, Other"
47.0101,"Electrical and Electronics Equipment Installer and Repairers, General"
47.0102,Business Machine Repairer
47.0103,Communication Systems Installer and Repairer
47.0104,Computer Installer and Repairer
47.0105,Industrial Electronics Installer and Repairer
47.0106,Major Appliance Installer and Repairer
47.0107,Motor Repair
47.0108,Small Appliance Repair
47.0109,"Electrical and Electronics Equipment Installer and Repairer, General"
47.0199,"Electrical and Electronics Equipment Installer and Repairers, Other"
47.0201,"Heating, Air Conditioning and Refrigeration Mechanic and Repairer"
47.0202,Cooling and Refrigeration
47.0203,Heating and Air Conditioning
47.0299,"Heat Airconditioning and Refrigeration Mechanic and Repairer, Other"
47.0301,"Industrial Equip. Main. and Repairers, General"
47.0302,Heavy Equipment Main. and Repairer
47.0303,Industrial Machinery Main. and Repairer
47.0304,Mine Equip Main and Repair
47.0305,"Industrial Equipment Maintenance and Repairers, Other"
47.0399,"Industrial Equipment Maintenance and Repairers, Other"
47.0401,Instrument Calibration and Repairer
47.0402,Gunsmith
47.0403,Locksmith and Safe Repairer
47.0404,Musical Instrument Repairer
47.0405,"Miscellaneous Mechanics and repairers, Other"
47.0408,"Watch, Clock and Jewelry Repairer"
47.0499,"Miscellaneous Mechanics and Repairers, Other"
47.0501,Stationary Energy Sources Installer/Operator
47.0502,Conventional Elec Power General
47.0504,Pumping Plants
47.0599,"Stationary Energ Sources, Other"
47.0601,"Vehicle and Mobile Equipment Mechanics and Repairers, General"
47.0603,Auto/Automotive Body Repairer
47.0604,Auto/Automotive Mechanic/Technician
47.0605,Diesel Engine Mechanic and Repairer
47.0606,Small Engine Mechanic and Repairer
47.0607,"Aircraft Mechanic/Technician, Airframe"
47.0608,"Aircraft Mechanic/Technician, Powerplant"
47.0699,Vehicle and Mobile Equip. Mechanic and Repairer
47.9999,"Mechanics and Repairers, Other"
48.0101,"Drafting, General"
48.0102,Architectural Drafting
48.0103,Civil/Structural Drafting
48.0104,Electrical/Electronics Drafting
48.0105,Mechanical Drafting
48.0199,"Drafting, Other"
48.0201,"Graphic and Printing Equipment Operator, General"
48.0202,Bookbinding
48.0203,Commercial Air
48.0204,Commercial Photography
48.0205,Mechanical Typesetter and Composer
48.0206,Lithographer and Platemaker
48.0207,Photographic Lab and Darkroom
48.0208,Printing Press Operator
48.0209,Silk Screen Making and Printing
48.0299,"Graphic and Printing Equipment Operator, Other"
48.0302,Saddlemaking and Repair
48.0303,Upholsterer
48.0304,"Shoe, Boot and Leather Repairer"
48.0399,"Leatherworkers and Upholsterers, Other"
48.0402,Meatcutting
48.0403,Meatcutter
48.0499,"Culinary Arts and Related Services, Other"
48.0501,Machinist/Machine Technologist
48.0502,"Precision Metal Workers, Other"
48.0503,Machine Shop Assistant
48.0504,Metal Fabrication
48.0505,Metal Patternmaking
48.0506,Sheet Metal Worker
48.0507,Tool and Die Maker/Technologist
48.0508,Welder/Welding Technologist
48.0599,"Precision Metal Workers, Other"
48.0602,Jewelry Design Fab and Repair
48.0604,Plastics
48.0699,"Precision Worker, Assorted Materials, Other"
48.0701,"Woodworkers, General"
48.0702,Furniture Designer and Maker
48.0703,Cabinet Maker and Millworker
48.0799,"Woodworkers, Other"
48.9999,"Precision Production Trades, Other"
49.0101,Aviation and Airway Science
49.0102,Aircraft Pilot and Navigator (Professional)
49.0104,Aviation Management
49.0105,Air Traffic Controller
49.0106,Flight Attendant
49.0107,Aircraft Pilot (Private)
49.0199,"Air Transportation Workers, Other"
49.0201,"Vehicle and Equipment Operators, General"
49.0202,Construction Equipment Operator
49.0203,Material Handling
49.0204,Mining Equipment Operation
49.0205,"Truck, Bus and Other Commercial Vehicle Operators"
49.0299,"Vehicle and Equipment Operators, Other"
49.0301,"Water Transportation, General"
49.0302,Barge and Boat Operations
49.0303,Fishing Technology/Commercial Fishing
49.0304,Diver (Professional)
49.0305,Marina Operations
49.0306,Marine Main. and Ship Repairer
49.0308,Sailors and Deckhands
49.9999,"Transportation and Materials Moving Workers, Other"
50.0101,"Visual and Performing Arts, General"
50.0201,"Crafts, Folk Art and Artisanry"
50.0202,Ceramics
50.0204,Fiber/Textiles/Weaving
50.0205,Glass
50.0206,Metal/Jewelry
50.0299,"Crafts, Other"
50.0301,Dance
50.0401,Design and Visual Communications
50.0402,"Graphic Design, Commercial Art and Illustration"
50.0403,Illustration Design
50.0404,Industrial Design
50.0405,Theater Design
50.0499,"Design and Applied Arts, Other"
50.0501,"Drama/Theater Arts, General"
50.0601,Film/Cinema Studies
50.0602,Film-Video Making/Cinematography and Production
50.0603,Film Animation
50.0605,Photography
50.0606,Video
50.0699,"Film/Video and Photographic Arts, Other"
50.0701,"Art, General"
50.0702,Fine/Studio Arts
50.0703,"Art History, Criticism and Conservation"
50.0704,Arts Management
50.0705,Drawing
50.0706,Intermedia
50.0708,Painting
50.0709,Sculpture
50.071,Printmaking
50.0799,"Fine Arts and Art Studies, Other"
50.0901,"Music, General"
50.0902,Music History and Literature
50.0903,Music - General Performance
50.0904,Music Theory and Composition
50.0999,"Music, Other"
50.9999,"Visual and Performing Arts, Other"
95,Undesignated Field of Study
99,Institution total
1.0101,"Agricultural Business and Management, Ge"
1.0102,Agricultural Business/Agribusiness Opera
1.0103,Agricultural Economics
1.0104,Farm and Ranch Management
1.0199,"Agricultural Business and Management, Ot"
1.0201,"Agricultural Mechanization, General"
1.0204,Agricultural Power Machinery Operator
1.0299,"Agricultural Mechanization, Other"
1.0301,Agricultural Production Workers and Mana
1.0302,Agricultural Animal Husbandry and Produc
1.0303,Aquaculture Operations and Production Ma
1.0304,Crop Production Operations and Managemen
1.0399,Agricultural Production Workers and Mana
1.0401,Agriculture/Food Products Processing Ope
1.0501,Agricultural Supplies Retailing and Whol
1.0505,Animal Trainer
1.0507,"Equestrian/Equine Studies, Horse Managem"
1.0599,Agricultural Supplies and Related Servic
1.0601,Horticulture Services Operations and Man
1.0603,Ornamental Horticulture Operations and M
1.0604,Greenhouse Operations and Management
1.0605,Landscaping Operations and Management
1.0606,Nursery Operations and Management
